Periode,Data,baru
1,3980,4707
2,4039,4766
3,3878,4605
4,3809,4536
5,3829,4556
6,3798,4525
7,3730,4457
8,3705,4432
9,3701,4428
10,3782,4509
11,3827,4554
12,3759,4486
13,3747,4474
14,3666,4393
15,3617,4344
16,3638,4365
17,3570,4297
18,3598,4325
19,3481,4208
20,3541,4268
21,3616,4343
22,3489,4216
23,3531,4258
24,3703,4430
25,3688,4415
26,3553,4280
27,3586,4313
28,3630,4357
29,3629,4356
30,3604,4331
31,3658,4385
32,3590,4317
33,3524,4251
34,3923,4650
35,3934,4661
36,3781,4508
37,3749,4476
38,3778,4505
39,3783,4510
40,3696,4423
41,3745,4472
42,3652,4379
43,3649,4376
44,3584,4311
45,3458,4185
46,3404,4131
47,3344,4071
48,3410,4137
49,3316,4043
50,3399,4126
51,3415,4142
52,3460,4187
53,3542,4269
54,3364,4091
55,3633,4360
56,3550,4277
57,3648,4375
58,3584,4311
59,3461,4188
60,3487,4214
61,3421,4148
62,3457,4184
63,3317,4044
64,3254,3981
65,3279,4006
66,3136,3863
67,3127,3854
68,3127,3854
69,3096,3823
70,3128,3855
71,3155,3882
72,3169,3896
73,3114,3841
74,3112,3839
75,3084,3811
76,3027,3754
77,2989,3716
78,2993,3720
79,3096,3823
80,2980,3707
81,3062,3789
82,3011,3738
83,2941,3668
84,2774,3501
85,2697,3424
86,2670,3397
87,2488,3215
88,2472,3199
89,2322,3049
90,2343,3070
91,2525,3252
92,2554,3281
93,2729,3456
94,2605,3332
95,2678,3405
96,2713,3440
97,2503,3230
98,2382,3109
99,2554,3281
100,2499,3226
101,2550,3277
102,2472,3199
103,2448,3175
104,2477,3204
105,2477,3204
106,2431,3158
107,2532,3259
108,2425,3152
109,2567,3294
110,2684,3411
111,2626,3353
112,2643,3370
113,2621,3348
114,2550,3277
115,2446,3173
116,2519,3246
117,2616,3343
118,2463,3190
119,2484,3211
120,2355,3082
121,2356,3083
122,2302,3029
123,2272,2999
124,2324,3051
125,2269,2996
126,2299,3026
127,2284,3011
128,2279,3006
129,2326,3053
130,2351,3078
131,2335,3062
132,2360,3087
133,2269,2996
134,2275,3002
135,2226,2953
136,2208,2935
137,2191,2918
138,2149,2876
139,2126,2853
140,2152,2879
141,2187,2914
142,2141,2868
143,2089,2816
144,2107,2834
145,2031,2758
146,1984,2711
147,1983,2710
148,1981,2708
149,2016,2743
150,1951,2678
151,1951,2678
