Date,Close
9/5/2022,8700
9/6/2022,8650
9/7/2022,8550
9/8/2022,8525
9/9/2022,8450
9/12/2022,8600
9/13/2022,8525
9/14/2022,8525
9/15/2022,8600
9/16/2022,8650
9/19/2022,8700
9/20/2022,8875
9/21/2022,8700
9/22/2022,8825
9/23/2022,9000
9/26/2022,9075
9/27/2022,8850
9/28/2022,8800
9/29/2022,8850
9/30/2022,8650
10/3/2022,8725
10/4/2022,8525
10/5/2022,8650
10/6/2022,8825
10/7/2022,8900
10/10/2022,8950
10/11/2022,9000
10/12/2022,8950
10/13/2022,8850
10/14/2022,8700
10/17/2022,8825
10/18/2022,8950
10/19/2022,9125
10/20/2022,9500
10/21/2022,9425
10/24/2022,9425
10/25/2022,9525
10/26/2022,9800
10/27/2022,9825
10/28/2022,9800
10/31/2022,9725
11/1/2022,9500
11/2/2022,9600
11/3/2022,9550
11/4/2022,9650
11/7/2022,9750
11/8/2022,9750
11/9/2022,9750
11/10/2022,9725
11/11/2022,9850
11/14/2022,9750
11/15/2022,9800
11/16/2022,9775
11/17/2022,9675
11/18/2022,9650
11/21/2022,9800
11/22/2022,9650
11/23/2022,9900
11/24/2022,9800
11/25/2022,9900
11/28/2022,9975
11/29/2022,9975
11/30/2022,10100
12/1/2022,10150
12/2/2022,10200
12/5/2022,10350
12/6/2022,10350
12/7/2022,10325
12/8/2022,10200
12/9/2022,10150
12/12/2022,10400
12/13/2022,10300
12/14/2022,10325
12/15/2022,10300
12/16/2022,10425
12/19/2022,10150
12/20/2022,10300
12/21/2022,10225
12/22/2022,10125
12/23/2022,10025
12/26/2022,10150
12/27/2022,10075
12/28/2022,10175
12/29/2022,10175
12/30/2022,10000
1/2/2023,10150
1/3/2023,10175
1/4/2023,10100
1/5/2023,10225
1/6/2023,10175
1/9/2023,10200
1/10/2023,10200
1/11/2023,10525
1/12/2023,10450
1/13/2023,10450
1/16/2023,10400
1/17/2023,10350
1/18/2023,10475
1/19/2023,10500
1/20/2023,10500
1/24/2023,10400
1/25/2023,10425
1/26/2023,10075
1/27/2023,10000
1/30/2023,10100
1/31/2023,10100
2/1/2023,10375
2/2/2023,10250
2/3/2023,10475
2/6/2023,10275
2/7/2023,10275
2/8/2023,10325
2/9/2023,10300
2/10/2023,10300
2/13/2023,10275
2/14/2023,10300
2/15/2023,10300
2/16/2023,10200
2/17/2023,10350
2/20/2023,10350
2/21/2023,10300
2/22/2023,10225
2/23/2023,10225
2/24/2023,10175
2/27/2023,10050
2/28/2023,10125
3/1/2023,9900
3/2/2023,9850
3/3/2023,9725
3/6/2023,9750
3/7/2023,9975
3/8/2023,9800
3/9/2023,9800
3/10/2023,9750
3/13/2023,9650
3/14/2023,9650
3/15/2023,9325
3/16/2023,9400
3/17/2023,9550
3/20/2023,9625
3/21/2023,9700
3/24/2023,9975
3/27/2023,9975
3/28/2023,10100
3/29/2023,9975
3/30/2023,9875
3/31/2023,9975
4/3/2023,9975
4/4/2023,10200
4/5/2023,10125
4/6/2023,10075
4/10/2023,10075
4/11/2023,10200
4/12/2023,10050
4/13/2023,10250
4/14/2023,10250
4/17/2023,10225
4/18/2023,10200
4/26/2023,10200
4/27/2023,10250
4/28/2023,10575
5/2/2023,10400
5/3/2023,10750
5/4/2023,10800
5/5/2023,10875
5/8/2023,11025
5/9/2023,11000
5/10/2023,10900
5/11/2023,10975
5/12/2023,10875
5/15/2023,11000
5/16/2023,11000
5/17/2023,11000
5/19/2023,10950
5/22/2023,11000
5/23/2023,11175
5/24/2023,11200
5/25/2023,11200
5/26/2023,11200
5/29/2023,11175
5/30/2023,11200
5/31/2023,11700
6/5/2023,11550
6/6/2023,11300
6/7/2023,11300
6/8/2023,11300
6/9/2023,11375
6/12/2023,11300
6/13/2023,11250
6/14/2023,11300
6/15/2023,11325
6/16/2023,11200
6/19/2023,11250
6/20/2023,11200
6/21/2023,11325
6/22/2023,11175
6/23/2023,11175
6/26/2023,11325
6/27/2023,11325
7/3/2023,11575
7/4/2023,11475
7/5/2023,11450
7/6/2023,11400
7/7/2023,11275
7/10/2023,11325
7/11/2023,11525
7/12/2023,11650
7/13/2023,11700
7/14/2023,11775
7/17/2023,11650
7/18/2023,11750
7/20/2023,11475
7/21/2023,11500
7/24/2023,11525
7/25/2023,11225
7/26/2023,11175
7/27/2023,11175
7/28/2023,11200
7/31/2023,11200
8/1/2023,11075
8/2/2023,11175
8/3/2023,11200
8/4/2023,11250
8/7/2023,11125
8/8/2023,11150
8/9/2023,11100
8/10/2023,11450
8/11/2023,11475
8/14/2023,11400
8/15/2023,11475
8/16/2023,11675
8/18/2023,11700
8/21/2023,11675
8/22/2023,11525
8/23/2023,11500
8/24/2023,11350
8/25/2023,11425
8/28/2023,11300
8/29/2023,11375
8/30/2023,11250
8/31/2023,11200
9/1/2023,11200
