Tanggal,Kurs Jual
8/31/2023 ,10462.62
8/30/2023 ,10474.82
8/29/2023 ,10491.79
8/28/2023 ,10529.07
8/25/2023 ,10547.9
8/24/2023 ,10589.17
8/23/2023 ,10568.57
8/22/2023 ,10593.17
8/21/2023 ,10591.04
8/18/2023 ,10582.29
8/16/2023 ,10575.83
8/15/2023 ,10635.09
8/14/2023 ,10581.69
11/8/2023,10625.88
10/8/2023,10665.85
9/8/2023,10693.93
8/8/2023,10733.11
7/8/2023,10687.68
4/8/2023,10688.59
3/8/2023,10691.29
2/8/2023,10644.28
1/8/2023,10669.29
7/31/2023 ,10845.26
7/28/2023 ,10773.85
7/27/2023 ,10740.96
7/26/2023 ,10667.73
7/25/2023 ,10675.11
7/24/2023 ,10685.01
7/21/2023 ,10792.23
7/20/2023 ,10900.59
7/18/2023 ,10877.77
7/17/2023 ,10868.11
7/14/2023 ,10881.08
7/13/2023 ,10861.52
12/7/2023,10846.19
11/7/2023,10727.91
10/7/2023,10620.46
7/7/2023,10521.52
6/7/2023,10453.15
5/7/2023,10447.21
4/7/2023,10435.23
3/7/2023,10502.3
6/27/2023 ,10545.48
6/26/2023 ,10542.76
6/23/2023 ,10570.07
6/22/2023 ,10596
6/21/2023 ,10663.28
6/20/2023 ,10627.67
6/19/2023 ,10640.22
6/16/2023 ,10630.51
6/15/2023 ,10694.78
6/14/2023 ,10710.59
6/13/2023 ,10717.21
12/6/2023,10694.41
9/6/2023,10718.89
8/6/2023,10721.01
7/6/2023,10715.81
6/6/2023,10654.73
5/6/2023,10789.27
5/31/2023 ,10727.21
5/30/2023 ,10714.8
5/29/2023 ,10773.83
5/26/2023 ,10780.37
5/25/2023 ,10806.18
5/24/2023 ,10802.19
5/23/2023 ,10863.08
5/22/2023 ,10866.28
5/19/2023 ,10915.94
5/17/2023 ,10963.5
5/16/2023 ,10945.63
5/15/2023 ,10997.52
12/5/2023,10989.02
11/5/2023,10958.91
10/5/2023,10997.98
9/5/2023,10951.66
8/5/2023,11003.04
5/5/2023,10921.84
4/5/2023,10884.91
3/5/2023,10740.3
2/5/2023,10860.4
4/28/2023 ,11079.78
4/27/2023 ,11208.34
4/26/2023 ,11124.64
4/18/2023 ,11077.27
4/17/2023 ,11149.27
4/14/2023 ,11176.57
4/13/2023 ,11164.5
12/4/2023,11238.97
11/4/2023,11338.67
10/4/2023,11429.01
6/4/2023,11422.23
5/4/2023,11300.29
4/4/2023,11278.69
3/4/2023,11301.07
3/31/2023 ,11428.7
3/30/2023 ,11494.64
3/29/2023 ,11561.91
3/28/2023 ,11644.68
3/27/2023 ,11717.92
3/24/2023 ,11703.91
3/21/2023 ,11780.43
3/20/2023 ,11610.51
3/17/2023 ,11643.44
3/16/2023 ,11451.97
3/15/2023 ,11578.2
3/14/2023 ,11488.49
3/13/2023 ,11407.75
10/3/2023,11335.71
9/3/2023,11296.56
8/3/2023,11376.62
7/3/2023,11329.48
6/3/2023,11284.13
3/3/2023,11224.39
2/3/2023,11273.45
1/3/2023,11199.33
2/28/2023 ,11281.23
2/27/2023 ,11339.23
2/24/2023 ,11315.93
2/23/2023 ,11359.25
2/22/2023 ,11330.14
2/21/2023 ,11370.91
2/20/2023 ,11324.04
2/17/2023 ,11396.46
2/16/2023 ,11458.78
2/15/2023 ,11540.5
2/14/2023 ,11571.76
2/13/2023 ,11687.3
10/2/2023,11594.38
9/2/2023,11606.54
8/2/2023,11510.58
7/2/2023,11472.76
6/2/2023,11641.78
3/2/2023,11616.53
2/2/2023,11575.84
1/2/2023,11581.06
1/31/2023 ,11606.71
1/30/2023 ,11584.49
1/27/2023 ,11607.61
1/26/2023 ,11523.79
1/25/2023 ,11561.6
1/24/2023 ,11787.62
1/20/2023 ,11849.41
1/19/2023 ,11687.68
1/18/2023 ,11837.22
1/17/2023 ,11797.79
1/16/2023 ,11875.5
1/13/2023 ,11737.35
12/1/2023,11785.09
11/1/2023,11855.42
10/1/2023,11840.43
9/1/2023,11698.31
6/1/2023,11845.4
5/1/2023,12050.28
4/1/2023,12036.53
3/1/2023,11951.02
2/1/2023,11855.91
12/30/2022 ,11816.77
12/29/2022 ,11792.21
12/28/2022 ,11842.35
12/27/2022 ,11841.88
12/26/2022 ,11836.24
12/23/2022 ,11874.5
12/22/2022 ,11905.99
12/21/2022 ,11836.73
