Tanggal,Kurs Jual
9/1/2021 12:00:00 AM,13083.57
9/2/2021 12:00:00 AM,13008.99
9/3/2021 12:00:00 AM,13048.83
9/6/2021 12:00:00 AM,13034.11
9/7/2021 12:00:00 AM,13024.67
9/8/2021 12:00:00 AM,12979.69
9/9/2021 12:00:00 AM,13015.01
9/10/2021 12:00:00 AM,13053.66
9/13/2021 12:00:00 AM,13009.49
9/14/2021 12:00:00 AM,13015.44
9/15/2021 12:00:00 AM,13022.17
9/16/2021 12:00:00 AM,13099.74
9/17/2021 12:00:00 AM,13083.29
9/20/2021 12:00:00 AM,13008.52
9/21/2021 12:00:00 AM,13060.61
9/22/2021 12:00:00 AM,13068.49
9/23/2021 12:00:00 AM,13080.24
9/24/2021 12:00:00 AM,13031.91
9/27/2021 12:00:00 AM,12972.15
9/28/2021 12:00:00 AM,12920.91
9/29/2021 12:00:00 AM,12885.57
9/30/2021 12:00:00 AM,12916.4
10/1/2021 12:00:00 AM,12857.43
10/4/2021 12:00:00 AM,12946.89
10/5/2021 12:00:00 AM,12903.48
10/6/2021 12:00:00 AM,12893.66
10/7/2021 12:00:00 AM,12835.06
10/8/2021 12:00:00 AM,12843.72
10/11/2021 12:00:00 AM,12772.38
10/12/2021 12:00:00 AM,12650.41
10/13/2021 12:00:00 AM,12601.95
10/14/2021 12:00:00 AM,12585.51
10/15/2021 12:00:00 AM,12543.67
10/18/2021 12:00:00 AM,12390.07
10/19/2021 12:00:00 AM,12385.45
10/21/2021 12:00:00 AM,12420.26
10/22/2021 12:00:00 AM,12456.08
10/25/2021 12:00:00 AM,12488.21
10/26/2021 12:00:00 AM,12550.78
10/27/2021 12:00:00 AM,12484.28
10/28/2021 12:00:00 AM,12543.93
10/29/2021 12:00:00 AM,12560.51
11/1/2021 12:00:00 AM,12528.03
11/2/2021 12:00:00 AM,12526.21
11/3/2021 12:00:00 AM,12627.59
11/4/2021 12:00:00 AM,12622.97
11/5/2021 12:00:00 AM,12631.49
11/8/2021 12:00:00 AM,12698.55
11/9/2021 12:00:00 AM,12638.23
11/10/2021 12:00:00 AM,12669.77
11/11/2021 12:00:00 AM,12661.78
11/12/2021 12:00:00 AM,12591.58
11/15/2021 12:00:00 AM,12553.03
11/16/2021 12:00:00 AM,12530.31
11/17/2021 12:00:00 AM,12510.56
11/18/2021 12:00:00 AM,12479.58
11/19/2021 12:00:00 AM,12527.07
11/22/2021 12:00:00 AM,12498.42
11/23/2021 12:00:00 AM,12552.6
11/24/2021 12:00:00 AM,12514.93
11/25/2021 12:00:00 AM,12464.9
11/26/2021 12:00:00 AM,12442.69
11/29/2021 12:00:00 AM,12555.91
11/30/2021 12:00:00 AM,12718.82
12/1/2021 12:00:00 AM,12753.99
12/2/2021 12:00:00 AM,12709.05
12/3/2021 12:00:00 AM,12768.3
12/6/2021 12:00:00 AM,12772.37
12/7/2021 12:00:00 AM,12825.39
12/8/2021 12:00:00 AM,12738.66
12/9/2021 12:00:00 AM,12701.26
12/10/2021 12:00:00 AM,12714
12/13/2021 12:00:00 AM,12714.38
12/14/2021 12:00:00 AM,12687.2
12/15/2021 12:00:00 AM,12686.73
12/16/2021 12:00:00 AM,12672.55
12/17/2021 12:00:00 AM,12635.62
12/20/2021 12:00:00 AM,12635.62
12/21/2021 12:00:00 AM,12748.85
12/22/2021 12:00:00 AM,12695.44
12/23/2021 12:00:00 AM,12541.84
12/24/2021 12:00:00 AM,12529.32
12/27/2021 12:00:00 AM,12493.53
12/28/2021 12:00:00 AM,12471.54
12/29/2021 12:00:00 AM,12462.49
12/30/2021 12:00:00 AM,12469.63
12/31/2021 12:00:00 AM,12451.46
1/3/2022 12:00:00 AM,12467.97
1/4/2022 12:00:00 AM,12442.61
1/5/2022 12:00:00 AM,12415.01
1/6/2022 12:00:00 AM,12453.06
1/7/2022 12:00:00 AM,12497.18
1/10/2022 12:00:00 AM,12465.92
1/11/2022 12:00:00 AM,12445.63
1/12/2022 12:00:00 AM,12462.49
1/13/2022 12:00:00 AM,12460.78
1/14/2022 12:00:00 AM,12563.38
1/17/2022 12:00:00 AM,12636.46
1/18/2022 12:00:00 AM,12582.71
1/19/2022 12:00:00 AM,12552.65
1/20/2022 12:00:00 AM,12620.69
1/21/2022 12:00:00 AM,12625.39
1/24/2022 12:00:00 AM,12649.13
1/25/2022 12:00:00 AM,12681.56
1/26/2022 12:00:00 AM,12667.71
1/27/2022 12:00:00 AM,12629.41
1/28/2022 12:00:00 AM,12581.09
1/31/2022 12:00:00 AM,12510.09
2/2/2022 12:00:00 AM,12528.33
2/3/2022 12:00:00 AM,12590.59
2/4/2022 12:00:00 AM,12606.11
2/7/2022 12:00:00 AM,12554.64
2/8/2022 12:00:00 AM,12576.91
2/9/2022 12:00:00 AM,12533.1
2/10/2022 12:00:00 AM,12511.12
2/11/2022 12:00:00 AM,12474.66
2/14/2022 12:00:00 AM,12434.98
2/15/2022 12:00:00 AM,12517.1
2/16/2022 12:00:00 AM,12428.36
2/17/2022 12:00:00 AM,12401.17
2/18/2022 12:00:00 AM,12491.32
2/21/2022 12:00:00 AM,12511.46
2/22/2022 12:00:00 AM,12529.93
2/23/2022 12:00:00 AM,12566.44
2/24/2022 12:00:00 AM,12531.95
2/25/2022 12:00:00 AM,12597.35
3/1/2022 12:00:00 AM,12525.67
3/2/2022 12:00:00 AM,12550.47
3/4/2022 12:00:00 AM,12543.3
3/7/2022 12:00:00 AM,12527.01
3/8/2022 12:00:00 AM,12598.35
3/9/2022 12:00:00 AM,12519.23
3/10/2022 12:00:00 AM,12471.17
3/11/2022 12:00:00 AM,12404.6
