Time Period,Kurs Jual
1,13083.57
2,13008.99
3,13048.83
4,13034.11
5,13024.67
6,12979.69
7,13015.01
8,13053.66
9,13009.49
10,13015.44
11,13022.17
12,13099.74
13,13083.29
14,13008.52
15,13060.61
16,13068.49
17,13080.24
18,13031.91
19,12972.15
20,12920.91
21,12885.57
22,12916.4
23,12857.43
24,12946.89
25,12903.48
26,12893.66
27,12835.06
28,12843.72
29,12772.38
30,12650.41
31,12601.95
32,12585.51
33,12543.67
34,12390.07
35,12385.45
36,12420.26
37,12456.08
38,12488.21
39,12550.78
40,12484.28
41,12543.93
42,12560.51
43,12528.03
44,12526.21
45,12627.59
46,12622.97
47,12631.49
48,12698.55
49,12638.23
50,12669.77
51,12661.78
52,12591.58
53,12553.03
54,12530.31
55,12510.56
56,12479.58
57,12527.07
58,12498.42
59,12552.6
60,12514.93
61,12464.9
62,12442.69
63,12555.91
64,12718.82
65,12753.99
66,12709.05
67,12768.3
68,12772.37
69,12825.39
70,12738.66
71,12701.26
72,12714
73,12714.38
74,12687.2
75,12686.73
76,12672.55
77,12635.62
78,12635.62
79,12748.85
80,12695.44
81,12541.84
82,12529.32
83,12493.53
84,12471.54
85,12462.49
86,12469.63
87,12451.46
88,12467.97
89,12442.61
90,12415.01
91,12453.06
92,12497.18
93,12465.92
94,12445.63
95,12462.49
96,12460.78
97,12563.38
98,12636.46
99,12582.71
100,12552.65
101,12620.69
102,12625.39
103,12649.13
104,12681.56
105,12667.71
106,12629.41
107,12581.09
108,12510.09
109,12528.33
110,12590.59
111,12606.11
112,12554.64
113,12576.91
114,12533.1
115,12511.12
116,12474.66
117,12434.98
118,12517.1
119,12428.36
120,12401.17
121,12491.32
122,12511.46
123,12529.93
124,12566.44
125,12531.95
126,12597.35
127,12525.67
128,12550.47
129,12543.3
130,12527.01
131,12598.35
132,12519.23
133,12471.17
134,12404.6
135,12294.79
136,12227.96
137,12215.76
138,12157.7
139,12098.95
140,12125.96
141,12090.19
142,11977.91
143,11926.54
144,11867.14
145,11860.36
146,11578.79
147,11670.97
148,11854.3
149,11815.26
150,11782.42
151,11774.05
152,11742.46
153,11663.42
154,11665.97
155,11634.16
156,11523.06
157,11488
158,11446.66
159,11497.05
160,11396.35
161,11234.8
162,11230.93
163,11261.9
164,11252.78
165,11337.34
166,11326.29
167,11325.69
168,11117.19
169,11135.68
170,11242.58
171,11261.64
172,11392.76
173,11409.57
174,11383.27
175,11417.94
176,11580.62
177,11506.68
178,11556.76
179,11558.17
180,11585.51
181,11532.5
182,11483.01
183,11463.27
184,11238.36
185,11157.99
186,11116.96
187,10950.15
188,10874.8
189,10941.57
190,10940.63
191,10976.97
192,11031.11
193,11011.84
194,11128
195,11075.54
196,11062.61
197,10997.95
198,10957.74
199,11007.96
200,11063.5
201,11023.35
202,10989.16
203,10960.15
204,10978.79
205,11094.46
206,11107.27
207,11092.67
208,11159.65
209,11058.76
210,11095
211,10995.35
212,10975.29
