Year,CommodityCode,CropName,CountyCode,County,HarvestedAcres,Yield(Unit/Acre),Production,Price(Dollars/Unit),Unit,Value(Dollars)
2020,216299,GRAPESWINE,17,ElDorado,2620,2.38,6240,1548.56,Tons,9663000
2019,216299,GRAPESWINE,17,ElDorado,2640,2.66,7020,1722.51,Tons,12092000
2018,216299,GRAPESWINE,17,ElDorado,2670,2.57,6850,1630.51,Tons,11169000
2017,216299,GRAPESWINE,17,ElDorado,2340,2.53,5930,1503.2,Tons,8914000
2016,216299,GRAPESWINE,17,ElDorado,2340,2.58,6030,1449.59,Tons,8741000
2015,216299,GRAPESWINE,17,ElDorado,2220,2.42,5370,1508.19,Tons,8099000
2014,216299,GRAPESWINE,17,ElDorado,2110,2.53,5340,1420.04,Tons,7583000
2013,216299,GRAPESWINE,17,ElDorado,2120,2.71,5740,1395.64,tons,8011000
2012,216299,GRAPESWINE,17,ElDorado,2060,2.75,5675,1378.68,Tons,7824000
2011,216299,GRAPESWINE,17,ElDorado,2010,2.12,4270,1203.04,Tons,5137000
2010,216299,GRAPESWINE,17,ElDorado,1950,2.39,4670,1049.04,Tons,4899000
2009,216299,GRAPESWINE,17,ElDorado,1760,2.93,5165,1139.48,Tons,5885400
2008,216299,GRAPESWINE,17,ElDorado,1901,2.2,4182,1250.38,TONS,5229100
2007,216299,GRAPESWINE,17,ElDorado,1747,2.88,5029,1197.36,TONS,6021500
2006,216299,GRAPESWINE,17,ElDorado,1864,3.07,5720,1081.56,TONS,6186500
2005,216299,GRAPESWINE,17,ElDorado,1906,2.44,4642,1064.2,TONS,4940000
2004,216299,GRAPESWINE,17,ElDorado,1710,2.46,4209,1094.84,TONS,4608200
2003,216299,GRAPESWINE,17,ElDorado,1678,2.36,3953,1120.67,TON,4430000
2002,216299,GRAPESWINE,17,ElDorado,1464,2.77,4060,1153,TON,4680000
2001,216299,GRAPESWINE,17,ElDorado,1244,2.87,3570,1209,TONS,4317300
2000,216299,GRAPESWINE,17,ElDorado,1165,2.92,3400,1194,TON,4059600
1999,216299,GRAPESWINE,17,ElDorado,981,3.41,3345,1160,TON,3880200
1998,216299,GRAPESWINE,17,ElDorado,917,3.23,2961,1066,TONS,3155400
1997,216299,GRAPESWINE,17,ElDorado,876,4.15,3638,1044,TONS,3798100
1996,216299,GRAPESWINE,17,ElDorado,937,3.77,3532,889,TONS,3139900
1995,216299,GRAPESWINE,17,ElDorado,817,3.9,3186,812,TONS,2587300
1994,216299,GRAPESWINE,17,ElDorado,802,3.83,3068,655,TONS,2010000
1987,216299,GRAPESWINE,17,ElDorado,116,2.4,278,497,TONS,138200
1986,216299,GRAPESWINE,17,ElDorado,116,3,348,760,TON,264500
1985,216299,GRAPESWINE,17,ElDorado,116,5.3,615,848,TONS,521400
1984,216299,GRAPESWINE,17,ElDorado,313,4.4,1377,416,TONS,572300
1983,216299,GRAPESWINE,17,ElDorado,253,4.7,1189,436,TONS,518300
1982,216299,GRAPESWINE,17,ElDorado,245,3.25,796,417,TONS,331800
