t,xt,yt,y(t-1)
1982,796,417,
1983,1189,436,417
1984,1377,416,436
1985,615,848,416
1986,348,760,848
1987,278,497,760
1994,3068,655,497
1995,3186,812,655
1996,3532,889,812
1997,3638,1044,889
1998,2961,1066,1044
1999,3345,1160,1066
2000,3400,1194,1160
2001,3570,1209,1194
2002,4060,1153,1209
2003,3953,1120.67,1153
2004,4209,1094.84,1120.67
2005,4642,1064.2,1094.84
2006,5720,1081.56,1064.2
2007,5029,1197.36,1081.56
2008,4182,1250.38,1197.36
2009,5165,1139.48,1250.38
2010,4670,1049.04,1139.48
2011,4270,1203.04,1049.04
2012,5675,1378.68,1203.04
2013,5740,1395.64,1378.68
2014,5340,1420.04,1395.64
2015,5370,1508.19,1420.04
2016,6030,1449.59,1508.19
2017,5930,1503.2,1449.59
2018,6850,1630.51,1503.2
2019,7020,1722.51,1630.51
2020,6240,1548.56,1722.51
