Date,Closing_Price
11/11/2018,56.46
11/18/2018,50.42
11/25/2018,50.93
12/2/2018,52.61
12/9/2018,51.2
12/16/2018,45.59
12/23/2018,45.33
12/30/2018,47.96
1/6/2019,51.59
1/13/2019,53.8
1/20/2019,53.69
1/27/2019,55.26
2/3/2019,52.72
2/10/2019,55.59
2/17/2019,57.26
2/24/2019,55.8
3/3/2019,56.07
3/10/2019,58.52
3/17/2019,59.04
3/24/2019,60.14
3/31/2019,63.08
4/7/2019,63.89
4/14/2019,64
4/21/2019,63.3
4/28/2019,61.94
5/5/2019,61.66
5/12/2019,62.76
5/19/2019,58.63
5/26/2019,53.5
6/2/2019,53.99
6/9/2019,52.51
6/16/2019,57.43
6/23/2019,58.47
6/30/2019,57.51
7/7/2019,60.21
7/14/2019,55.63
7/21/2019,56.2
7/28/2019,55.66
8/4/2019,54.5
8/11/2019,54.87
8/18/2019,54.17
8/25/2019,55.1
9/1/2019,56.52
9/8/2019,54.85
9/15/2019,58.09
9/22/2019,55.91
9/29/2019,52.81
10/6/2019,54.7
10/13/2019,53.78
10/20/2019,56.66
10/27/2019,56.2
11/3/2019,57.24
11/10/2019,57.72
11/17/2019,57.77
11/24/2019,55.17
12/1/2019,59.2
12/8/2019,60.07
12/15/2019,60.44
12/22/2019,61.72
12/29/2019,63.05
1/5/2020,59.04
1/12/2020,58.54
1/19/2020,54.19
1/26/2020,51.56
2/2/2020,50.32
2/9/2020,52.05
2/16/2020,53.38
2/23/2020,44.76
3/1/2020,41.28
3/8/2020,31.73
3/15/2020,22.43
3/22/2020,21.51
3/29/2020,28.34
4/5/2020,22.76
4/12/2020,18.27
4/19/2020,16.94
4/26/2020,19.78
5/3/2020,24.74
5/10/2020,29.43
5/17/2020,33.25
5/24/2020,35.49
5/31/2020,39.55
6/7/2020,36.26
6/14/2020,39.75
6/21/2020,38.49
6/28/2020,40.65
7/5/2020,40.55
7/12/2020,40.59
7/19/2020,41.29
7/26/2020,40.27
8/2/2020,41.22
8/9/2020,42.01
8/16/2020,42.34
8/23/2020,42.97
8/30/2020,39.77
9/6/2020,37.33
9/13/2020,41.11
9/20/2020,40.25
9/27/2020,37.05
10/4/2020,40.6
10/11/2020,40.88
10/18/2020,39.85
10/25/2020,35.79
